id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
IPULN53311W010000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 53311) in the United States,1987-01-01,2023-01-01,Annual,A,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN53311W200000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 53311) in the United States,1987-01-01,2023-01-01,Annual,A,Thousands of Jobs,Thous. of Jobs,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN53311W201000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 53311) in the United States,1988-01-01,2023-01-01,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN5331L010000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1987-01-01,2023-01-01,Annual,A,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN5331L200000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1987-01-01,2023-01-01,Annual,A,Millions of Hours,Mil. of Hours,Not Seasonally Adjusted,NSA,2024-04-26 09:07:00-05:00,1,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN5331L201000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1988-01-01,2023-01-01,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN5331W010000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1987-01-01,2023-01-01,Annual,A,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN5331W200000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1987-01-01,2023-01-01,Annual,A,Thousands of Jobs,Thous. of Jobs,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN5331W201000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 5331) in the United States,1988-01-01,2023-01-01,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN533L010000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1987-01-01,2023-01-01,Annual,A,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN533L200000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1987-01-01,2023-01-01,Annual,A,Millions of Hours,Mil. of Hours,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN533L201000000,2024-09-18,2024-09-18,Hours Worked for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1988-01-01,2023-01-01,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2024-04-26 09:12:13-05:00,0,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
IPULN533W010000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1987-01-01,2023-01-01,Annual,A,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,2024-04-26 09:07:00-05:00,1,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN533W200000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1987-01-01,2023-01-01,Annual,A,Thousands of Jobs,Thous. of Jobs,Not Seasonally Adjusted,NSA,2024-04-26 09:07:00-05:00,2,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
IPULN533W201000000,2024-09-18,2024-09-18,Employment for Real Estate and Rental and Leasing: Lessors of Nonfinancial Intangible Assets (Except Copyrighted Works) (NAICS 533) in the United States,1988-01-01,2023-01-01,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2024-04-26 09:07:00-05:00,1,"Employment is the total number of wage and salary workers, unincorporated self-employed workers, and unpaid family workers working within business establishments. An individual who works multiple jobs at separate establishments would have each job included in the number of employees."
